cycle_id,field_id,crop_name,start_date,expected_harvest_date,actual_harvest_date,status,yield_prediction,actual_yield
36,41,Cotton,2024-04-21,2024-10-11,,cancelled,4.41,
37,17,Cotton,2023-12-06,2024-10-05,,completed,3.36,4.89
38,33,Rice,2024-01-28,2024-10-20,2024-07-07,completed,4.32,7.35
39,32,Rice,2024-04-10,2025-02-22,2024-06-30,active,5.95,4.19
40,17,Wheat,2023-07-05,2025-02-04,2024-07-20,active,3.99,
41,4,Barley,2023-12-07,2024-10-01,,completed,,5.05
42,6,Rice,2023-11-28,2024-10-19,2024-07-18,active,3.74,
43,41,Sugarcane,2023-10-20,2025-01-12,2024-07-20,completed,3.71,
44,28,Cotton,2024-02-10,2024-07-10,2024-06-20,cancelled,,4.91
45,18,Cotton,2024-04-26,2024-10-25,,active,5.98,6.96
46,3,Wheat,2024-05-10,2024-09-29,,completed,7.61,3.76
47,1,Cotton,2024-06-04,2024-10-18,,cancelled,5.34,3.63
48,22,Cotton,2023-12-16,2024-11-19,2024-06-25,cancelled,5.01,4.66
49,50,Barley,2024-02-28,2024-11-11,,completed,5.7,
50,9,Maize,2024-02-16,2025-03-04,2024-06-05,completed,5.99,3.5
51,41,Sugarcane,2024-02-16,2024-07-12,2024-07-24,cancelled,6.67,3.08
52,17,Barley,2024-06-14,2024-08-10,2024-06-07,cancelled,3.13,
53,11,Maize,2023-10-22,2024-08-17,2024-06-20,completed,6.37,7.85
54,48,Cotton,2024-03-22,2024-09-27,2024-07-09,completed,5.94,
55,29,Wheat,2024-03-03,2024-12-14,2024-07-21,cancelled,,4.33
56,36,Wheat,2023-09-29,2024-08-18,2024-07-21,cancelled,7.11,4.99
57,46,Cotton,2024-06-06,2024-09-18,,completed,6.82,
58,28,Rice,2023-08-17,2024-07-03,2024-07-13,completed,,
59,36,Maize,2023-11-27,2024-12-30,,cancelled,5.21,5.67
60,1,Cotton,2024-03-24,2024-12-26,2024-06-22,completed,7.98,6.13
61,8,Wheat,2024-06-08,2024-11-17,,completed,7.07,5.44
62,5,Wheat,2024-05-24,2025-03-05,2024-07-02,completed,5.35,
63,45,Maize,2024-05-17,2025-01-25,,completed,4.61,4.17
64,10,Sugarcane,2023-12-23,2024-12-30,2024-07-11,active,,4.44
65,35,Cotton,2023-08-21,2024-07-02,2024-06-30,active,,
66,3,Barley,2023-11-02,2024-09-14,2024-06-28,cancelled,5.48,
67,24,Cotton,2024-06-13,2025-01-02,,active,5.0,6.8
68,38,Sugarcane,2023-12-10,2024-12-17,2024-07-12,completed,3.18,3.5
69,36,Maize,2023-10-28,2025-03-27,,active,,
70,10,Maize,2023-10-14,2024-06-11,2024-07-05,cancelled,3.58,
71,28,Wheat,2023-09-18,2025-03-22,2024-06-30,cancelled,7.32,
72,9,Sugarcane,2023-07-17,2024-12-12,2024-07-17,cancelled,3.01,
73,3,Maize,2023-07-28,2025-01-31,2024-06-21,active,5.31,
74,20,Rice,2023-11-07,2024-06-04,2024-07-24,active,,
75,24,Cotton,2024-03-04,2024-11-28,2024-06-18,active,6.11,
